Own,make
BMW Group,BMW
Daimler AG,Mercedes
Fiat Chrysler Automobiles,Dodge
Fiat Chrysler Automobiles,Jeep
Ford Motor Co.,Ford
General Motors,Buick
General Motors,Chevrolet
General Motors,GMC
Honda Motor Co.,Honda
Hyundai Motor Group,Hyundai
Hyundai Motor Group,Kia
Mazda Motor Corp.,Mazda
Renault-Nissan-Mitsubishi Alliance,Mitsubishi
Renault-Nissan-Mitsubishi Alliance,Nissan
Subaru Corp.,Subaru
Tata Motors,Jaguar
Toyota Motor Corp.,Lexus
Toyota Motor Corp.,Toyota
Toyota Motor Corp.,Subaru
Volkswagen Group,Audi
Volkswagen Group,Porsche
Volkswagen Group,Volkswagen
BMW Group,BMW Group
Daimler AG,Daimler AG
Fiat Chrysler Automobiles,Fiat Chrysler Automobiles
Fiat Chrysler Automobiles,Fiat Chrysler Automobiles
Ford Motor Co.,Ford Motor Co.
General Motors,General Motors
General Motors,General Motors
General Motors,General Motors
Honda Motor Co.,Honda Motor Co.
Hyundai Motor Group,Hyundai Motor Group
Hyundai Motor Group,Hyundai Motor Group
Mazda Motor Corp.,Mazda Motor Corp.
Renault-Nissan-Mitsubishi Alliance,Renault-Nissan-Mitsubishi Alliance
Renault-Nissan-Mitsubishi Alliance,Renault-Nissan-Mitsubishi Alliance
Subaru Corp.,Subaru Corp.
Tata Motors,Tata Motors
Toyota Motor Corp.,Toyota Motor Corp.
Toyota Motor Corp.,Toyota Motor Corp.
Toyota Motor Corp.,Toyota Motor Corp.
Volkswagen Group,Volkswagen Group
Volkswagen Group,Volkswagen Group
Volkswagen Group,Volkswagen Group
Honda Motor Company,Acura
Fiat Chrysler Automobiles,Alfa Romeo
Volkswagen Group,Bentley
General Motors,Cadillac
Fiat Chrysler Automobiles,Chrysler
Fiat Chrysler Automobiles,Fiat
Hyundai Motor Group,Genesis
Renault-Nissan-Mitsubishi Alliance,Infiniti
Tata Motors,Land Rover
Ford Motor Co.,Lincoln
Zhejiang Geely Holding Group,Lotus
Fiat Chrysler Automobiles,Maserati
Daimler AG,Mercedes-Benz
Ford Motor Co.,Mercury
BMW Group,Mini
Zhejiang Geely Holding Group,Polestar
General Motors,Pontiac
Fiat Chrysler Automobiles,Ram
BMW Group,Rolls-Royce
Saab AB,Saab
General Motors,Saturn
Toyota Motor Corp.,Scion
Daimler AG,Smart
Suzuki Motor Corp,Suzuki
Tesla Inc.,Tesla
Zhejiang Geely Holding Group,Volvo
